problem_id,题号,标题,难度,所属分类,标签,简介,链接,所属题库
120,213,打家劫舍 II,中等,动态规划,"数组,动态规划",你是一个专业的小偷，计划偷窃沿街的房屋，每间房内都藏有一定的现金。这个地方所有的房屋都围成一圈，这意味着第一个房屋和最后一个房屋是紧挨着的。,https://leetcode.cn/problems/house-robber-ii/,1
121,337,打家劫舍 III,中等,动态规划,"树,深度优先搜索,动态规划,二叉树","小偷又发现了一个新的可行窃的地区。这个地区只有一个入口，我们称之为root。除了root之外，每栋房子有且只有一个""父""房子与之相连。",https://leetcode.cn/problems/house-robber-iii/,1
122,121,买卖股票的最佳时机,简单,动态规划,"数组,动态规划",给定一个数组prices，它的第i个元素prices[i]表示一支给定股票第i天的价格。你只能选择某一天买入这只股票，并选择在未来的某一个不同的日子卖出该股票。,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/,1
123,123,买卖股票的最佳时机 III,困难,动态规划,"数组,动态规划",给定一个数组，它的第i个元素是一支给定的股票在第i天的价格。设计一个算法来计算你所能获取的最大利润。你最多可以完成两笔交易。,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iii/,1
124,188,买卖股票的最佳时机 IV,困难,动态规划,"数组,动态规划",给你一个整数数组prices和一个整数k，其中prices[i]是某支给定的股票在第i天的价格。设计一个算法来计算你所能获取的最大利润。你最多可以完成k笔交易。,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iv/,1
125,309,最佳买卖股票时机含冷冻期,中等,动态规划,"数组,动态规划",给定一个整数数组prices，其中第prices[i]表示第i天的股票价格。设计一个算法计算出最大利润。在满足以下约束条件下，你可以尽可能地完成更多的交易：卖出股票后，你无法在第二天买入股票。,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-cooldown/,1
126,714,买卖股票的最佳时机含手续费,中等,动态规划,"贪心,数组,动态规划",给定一个整数数组prices，其中prices[i]表示第i天的股票价格；整数fee代表了交易股票的手续费用。你可以无限次地完成交易，但是你每笔交易都需要付手续费。,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,1
127,300,最长递增子序列,中等,动态规划,"树状数组,线段树,数组,二分查找,分治,动态规划",给你一个整数数组nums，找到其中最长严格递增子序列的长度。子序列是由数组派生而来的序列，删除（或不删除）数组中的元素而不改变其余元素的顺序。,https://leetcode.cn/problems/longest-increasing-subsequence/,1
128,674,最长连续递增序列,简单,动态规划,"贪心,数组",给定一个未经排序的整数数组，找到最长且连续递增的子序列，并返回该序列的长度。,https://leetcode.cn/problems/longest-continuous-increasing-subsequence/,1
129,718,最长重复子数组,中等,动态规划,"数组,二分查找,动态规划,滑动窗口,哈希函数,滚动哈希",给两个整数数组nums1和nums2，返回两个数组中公共的、长度最长的子数组的长度。,https://leetcode.cn/problems/maximum-length-of-repeated-subarray/,1
130,1143,最长公共子序列,中等,动态规划,"字符串,动态规划",给定两个字符串text1和text2，返回这两个字符串的最长公共子序列的长度。如果不存在公共子序列，返回0。,https://leetcode.cn/problems/longest-common-subsequence/,1
131,1035,不相交的线,中等,动态规划,"数组,动态规划",在两条独立的水平线上按给定的顺序写下nums1和nums2中的整数。现在，可以绘制一些连接两个数字nums1[i]和nums2[j]的直线。返回可以绘制的最大连线数。,https://leetcode.cn/problems/uncrossed-lines/,1
132,392,判断子序列,简单,动态规划,"双指针,字符串,动态规划",给定字符串s和t，判断s是否为t的子序列。字符串的一个子序列是原始字符串删除一些（也可以不删除）字符而不改变剩余字符相对位置形成的新字符串。,https://leetcode.cn/problems/is-subsequence/,1
133,115,不同的子序列,困难,动态规划,"字符串,动态规划",给你两个字符串s和t，统计并返回在s的子序列中t出现的个数。题目数据保证答案符合32位带符号整数范围。,https://leetcode.cn/problems/distinct-subsequences/,1
134,583,两个字符串的删除操作,中等,动态规划,"字符串,动态规划",给定两个单词word1和word2，返回使得word1和word2相同所需的最小步数。每步可以删除任意一个字符串中的一个字符。,https://leetcode.cn/problems/delete-operation-for-two-strings/,1
135,72,编辑距离,困难,动态规划,"字符串,动态规划",给你两个单词word1和word2，请返回将word1转换成word2所使用的最少操作数。你可以对一个单词进行如下三种操作：插入一个字符、删除一个字符、替换一个字符。,https://leetcode.cn/problems/edit-distance/,1
136,647,回文子串,中等,动态规划,"双指针,字符串,动态规划",给你一个字符串s，请你统计并返回这个字符串中回文子串的数目。回文字符串是正着读和倒过来读一样的字符串。,https://leetcode.cn/problems/palindromic-substrings/,1
137,516,最长回文子序列,中等,动态规划,"字符串,动态规划",给你一个字符串s，找出其中最长的回文子序列，并返回该序列的长度。子序列定义为：不改变剩余字符顺序的情况下，删除某些字符或者不删除任何字符形成的一个序列。,https://leetcode.cn/problems/longest-palindromic-subsequence/,1
138,739,每日温度,中等,单调栈,"栈,数组,单调栈",给定一个整数数组temperatures，表示每天的温度，返回一个数组answer，其中answer[i]是指对于第i天，下一个更高温度出现在几天后。,https://leetcode.cn/problems/daily-temperatures/,1
139,496,下一个更大元素 I,简单,单调栈,"栈,数组,哈希表,单调栈",nums1中数字x的下一个更大元素是指x在nums2中对应位置右侧的第一个比x大的元素。给你两个没有重复元素的数组nums1和nums2，返回一个长度为nums1.length的数组answer。,https://leetcode.cn/problems/next-greater-element-i/,1
140,503,下一个更大元素 II,中等,单调栈,"栈,数组,单调栈",给定一个循环数组nums（nums[nums.length - 1]的下一个元素是nums[0]），返回nums中每个元素的下一个更大元素。,https://leetcode.cn/problems/next-greater-element-ii/,1
141,42,接雨水,困难,单调栈,"栈,数组,双指针,动态规划,单调栈",给定n个非负整数表示每个宽度为1的柱子的高度图，计算按此排列的柱子，下雨之后能接多少雨水。,https://leetcode.cn/problems/trapping-rain-water/,1
142,84,柱状图中最大的矩形,困难,单调栈,"栈,数组,单调栈",给定n个非负整数，用来表示柱状图中各个柱子的高度。每个柱子彼此相邻，且宽度为1。求在该柱状图中，能够勾勒出来的矩形的最大面积。,https://leetcode.cn/problems/largest-rectangle-in-histogram/,1
